"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.683539675719680E9,"2023-05-08 11:54:35.720 UTC+02:00"
"PAUSE",1.704335533332780E1,1.683539692762580E9,"2023-05-08 11:54:52.763 UTC+02:00"
