"event","experiment time","system time","system time text"
"START",0.000000000E0,1682104438.475,"2023-04-21 21:13:58.475 UTC+02:00"
"PAUSE",3.416568040E1,1682104472.641,"2023-04-21 21:14:32.641 UTC+02:00"
