"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.683539188936552E9,"2023-05-08 11:46:28.937 UTC+02:00"
"PAUSE",1.798354766669218E1,1.683539206920112E9,"2023-05-08 11:46:46.920 UTC+02:00"
