"Event time (s)","Interval (s)"
2.035416667E-1,1.914875000E0
2.118416667E0,1.797520833E0
3.915937500E0,1.317729167E0
5.233666667E0,1.465500000E0
6.699166667E0,1.319250000E0
8.018416667E0,1.277500000E0
9.295916667E0,1.092708333E0
1.038862500E1,1.100166667E0
1.148879167E1,9.526458333E-1
1.244143750E1,1.132291667E0
1.357372917E1,8.414166667E-1
1.441514583E1,0.000000000E0
