"event","experiment time","system time","system time text"
"START",0.000000000E0,1682105150.858,"2023-04-21 21:25:50.858 UTC+02:00"
"PAUSE",3.030256279E1,1682105181.161,"2023-04-21 21:26:21.161 UTC+02:00"
