"Event time (s)","Interval (s)"
4.499375000E-1,1.117333333E0
1.567270833E0,1.017375000E0
2.584645833E0,1.088187500E0
3.672833333E0,1.049291667E0
4.722125000E0,2.312291667E-1
4.953354167E0,8.470000000E-1
5.800354167E0,1.031979167E0
6.832333333E0,1.052416667E0
7.884750000E0,1.094166667E0
8.978916667E0,1.026104167E0
1.000502083E1,1.106312500E0
1.111133333E1,1.061333333E0
1.217266667E1,1.034166667E0
1.320683333E1,1.440833333E-1
1.335091667E1,7.985625000E-1
1.414947917E1,0.000000000E0
