"event","experiment time","system time","system time text"
"START",0.000000000E0,1682104048.374,"2023-04-21 21:07:28.374 UTC+02:00"
"PAUSE",2.233790898E1,1682104070.712,"2023-04-21 21:07:50.712 UTC+02:00"
