"Event time (s)","Interval (s)"
9.801041667E-1,1.814041667E0
2.794145833E0,1.700583333E0
4.494729167E0,1.315895833E0
5.810625000E0,1.468666667E0
7.279291667E0,1.315750000E0
8.595041667E0,1.279562500E0
9.874604167E0,1.090958333E0
1.096556250E1,1.101916667E0
1.206747917E1,9.498125000E-1
1.301729167E1,1.135250000E0
1.415254167E1,8.391250000E-1
1.499166667E1,2.275291667E0
1.726695833E1,0.000000000E0
