"event","experiment time","system time","system time text"
"START",0.000000000E0,1683723030.340,"2023-05-10 14:50:30.340 UTC+02:00"
"PAUSE",6.317217842E0,1683723036.657,"2023-05-10 14:50:36.657 UTC+02:00"
