"event","experiment time","system time","system time text"
"START",0.000000000E0,1683720686.900,"2023-05-10 14:11:26.900 UTC+02:00"
"PAUSE",9.068595695E0,1683720695.969,"2023-05-10 14:11:35.969 UTC+02:00"
