"Time (s)","Illuminance (lx)"
4.093669900E-2,2.730000000E2
1.629366990E-1,2.730000000E2
3.029366990E-1,2.730000000E2
4.429366990E-1,2.730000000E2
5.029366990E-1,2.730000000E2
5.829366990E-1,2.730000000E2
6.629366990E-1,2.730000000E2
7.229366990E-1,2.730000000E2
8.629366990E-1,2.710000000E2
9.029366990E-1,2.710000000E2
1.002936699E0,2.710000000E2
1.142936699E0,2.710000000E2
1.262936699E0,2.700000000E2
1.302936699E0,2.700000000E2
1.422936699E0,2.700000000E2
1.462936699E0,2.700000000E2
1.502936699E0,2.700000000E2
1.562936699E0,2.700000000E2
1.662936699E0,2.710000000E2
1.702936699E0,2.710000000E2
1.842936699E0,2.710000000E2
1.862936699E0,2.710000000E2
1.982936699E0,2.710000000E2
2.122937699E0,2.730000000E2
2.262936699E0,2.730000000E2
2.402936699E0,2.730000000E2
2.542936699E0,2.730000000E2
2.682936699E0,2.730000000E2
2.822936699E0,2.730000000E2
2.962936699E0,2.730000000E2
3.102936699E0,2.730000000E2
3.242936699E0,2.730000000E2
3.262936699E0,2.730000000E2
3.382936699E0,2.730000000E2
3.462936699E0,2.730000000E2
3.522936699E0,2.730000000E2
3.662936699E0,2.730000000E2
3.702936699E0,2.730000000E2
3.802936699E0,2.730000000E2
3.942936699E0,2.730000000E2
4.082936699E0,2.730000000E2
4.222936699E0,2.730000000E2
4.262936699E0,2.730000000E2
4.302936699E0,2.730000000E2
4.363137230E0,2.730000000E2
4.463137230E0,2.730000000E2
4.503137230E0,2.730000000E2
4.643137230E0,2.730000000E2
4.703137230E0,2.730000000E2
4.783137230E0,2.730000000E2
4.863137230E0,2.740000000E2
4.903137230E0,2.750000000E2
5.063137230E0,2.740000000E2
5.103137230E0,2.750000000E2
5.203137230E0,2.750000000E2
5.303137230E0,2.740000000E2
5.343137230E0,2.740000000E2
5.483137230E0,2.730000000E2
5.623138230E0,2.730000000E2
5.703137230E0,2.730000000E2
5.763137230E0,2.730000000E2
5.903137230E0,2.730000000E2
6.043137230E0,2.730000000E2
6.183137230E0,2.740000000E2
6.323137230E0,2.760000000E2
6.463137230E0,2.780000000E2
6.503137230E0,2.760000000E2
6.603137230E0,2.760000000E2
6.663137230E0,2.760000000E2
6.743137230E0,2.760000000E2
6.863137230E0,2.750000000E2
6.903137230E0,2.750000000E2
7.023137230E0,2.750000000E2
7.063137230E0,2.740000000E2
7.163137230E0,2.730000000E2
7.263137230E0,2.730000000E2
7.303137230E0,2.740000000E2
7.443137230E0,2.740000000E2
7.583137230E0,2.740000000E2
7.723137230E0,2.750000000E2
7.863137230E0,2.760000000E2
7.903137230E0,2.760000000E2
8.003137230E0,2.760000000E2
8.063137230E0,2.760000000E2
8.103137230E0,2.750000000E2
8.143137230E0,2.750000000E2
8.283137230E0,2.740000000E2
8.303137230E0,2.740000000E2
8.423137230E0,2.740000000E2
8.463137230E0,2.740000000E2
8.503137230E0,2.730000000E2
8.563137230E0,2.730000000E2
8.663137230E0,2.730000000E2
8.703137230E0,2.740000000E2
8.843137230E0,2.740000000E2
8.903137230E0,2.750000000E2
8.983137230E0,2.750000000E2
9.063137230E0,2.760000000E2
9.123138230E0,2.760000000E2
9.263137230E0,2.760000000E2
9.403137230E0,2.780000000E2
9.543137230E0,2.780000000E2
9.683137230E0,2.780000000E2
9.703137230E0,2.780000000E2
9.823137230E0,2.780000000E2
9.863137230E0,2.760000000E2
9.903137230E0,2.760000000E2
9.963137230E0,2.760000000E2
1.006313723E1,2.760000000E2
1.010313723E1,2.760000000E2
1.024313723E1,2.760000000E2
1.038313723E1,2.780000000E2
1.046313723E1,2.780000000E2
1.052313723E1,2.760000000E2
1.066313723E1,2.780000000E2
1.080313723E1,2.780000000E2
1.094313723E1,2.780000000E2
1.106313723E1,2.780000000E2
1.122313723E1,2.780000000E2
1.126313723E1,2.780000000E2
1.136313723E1,2.780000000E2
