"event","experiment time","system time","system time text"
"START",0.000000000E0,1682104545.262,"2023-04-21 21:15:45.262 UTC+02:00"
"PAUSE",2.145523375E1,1682104566.718,"2023-04-21 21:16:06.718 UTC+02:00"
