"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.683539189669850E9,"2023-05-08 11:46:29.670 UTC+02:00"
"PAUSE",1.808138812496330E1,1.683539207750750E9,"2023-05-08 11:46:47.751 UTC+02:00"
