"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.683539956703420E9,"2023-05-08 11:59:16.703 UTC+02:00"
"PAUSE",2.513063554168910E1,1.683539981833390E9,"2023-05-08 11:59:41.833 UTC+02:00"
