"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.710280564543580E9,"2024-03-12 22:56:04.544 UTC+01:00"
"PAUSE",5.011217437498272E1,1.710280614655588E9,"2024-03-12 22:56:54.656 UTC+01:00"
