"event","experiment time","system time","system time text"
"START",0.000000000E0,1682104787.582,"2023-04-21 21:19:47.582 UTC+02:00"
"PAUSE",2.088709214E1,1682104808.469,"2023-04-21 21:20:08.469 UTC+02:00"
