"event","experiment time","system time","system time text"
"START",0.000000000E0,1682104384.338,"2023-04-21 21:13:04.338 UTC+02:00"
"PAUSE",2.444177571E1,1682104408.780,"2023-04-21 21:13:28.780 UTC+02:00"
