"event","experiment time","system time","system time text"
"START",0.000000000E0,1682103719.730,"2023-04-21 21:01:59.730 UTC+02:00"
"PAUSE",2.234909571E1,1682103742.079,"2023-04-21 21:02:22.079 UTC+02:00"
