"event","experiment time","system time","system time text"
"START",0.000000000E0,1682104253.001,"2023-04-21 21:10:53.001 UTC+02:00"
"PAUSE",2.103686125E1,1682104274.038,"2023-04-21 21:11:14.038 UTC+02:00"
