"event","experiment time","system time","system time text"
"START",0.000000000E0,1683723078.295,"2023-05-10 14:51:18.295 UTC+02:00"
"PAUSE",5.026468804E0,1683723083.322,"2023-05-10 14:51:23.322 UTC+02:00"
