"event","experiment time","system time","system time text"
"START",0.000000000E0,1682104924.799,"2023-04-21 21:22:04.799 UTC+02:00"
"PAUSE",2.172484964E1,1682104946.524,"2023-04-21 21:22:26.524 UTC+02:00"
