"event","experiment time","system time","system time text"
"START",0.000000000E0,1683720685.661,"2023-05-10 14:11:25.661 UTC+02:00"
"PAUSE",8.783556032E0,1683720694.445,"2023-05-10 14:11:34.445 UTC+02:00"
