"event","experiment time","system time","system time text"
"START",0.000000000E0,1682103990.866,"2023-04-21 21:06:30.866 UTC+02:00"
"PAUSE",2.140380710E1,1682104012.270,"2023-04-21 21:06:52.270 UTC+02:00"
