"event","experiment time","system time","system time text"
"START",0.000000000E0,1682104833.350,"2023-04-21 21:20:33.350 UTC+02:00"
"PAUSE",2.405072425E1,1682104857.401,"2023-04-21 21:20:57.401 UTC+02:00"
