"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.683539371865804E9,"2023-05-08 11:49:31.866 UTC+02:00"
"PAUSE",1.586508191667963E1,1.683539387730897E9,"2023-05-08 11:49:47.731 UTC+02:00"
