"event","experiment time","system time","system time text"
"START",0.000000000E0,1683723078.921,"2023-05-10 14:51:18.921 UTC+02:00"
"PAUSE",5.085287538E0,1683723084.006,"2023-05-10 14:51:24.006 UTC+02:00"
