"Time (s)","Illuminance (lx)"
4.740388900E-2,3.390000000E2
1.694038890E-1,3.420000000E2
3.094038890E-1,3.420000000E2
4.494038890E-1,3.440000000E2
5.894038890E-1,3.550000000E2
7.294038890E-1,3.520000000E2
8.694038890E-1,3.520000000E2
8.894038890E-1,3.520000000E2
1.009403889E0,3.520000000E2
1.149403889E0,3.520000000E2
1.289403889E0,3.520000000E2
1.429404889E0,3.520000000E2
1.569403889E0,3.550000000E2
1.709403889E0,3.550000000E2
1.849403889E0,3.550000000E2
1.889403889E0,3.520000000E2
1.929404889E0,3.520000000E2
1.989403889E0,3.520000000E2
2.129403889E0,3.520000000E2
2.269403889E0,3.520000000E2
2.289403889E0,3.500000000E2
2.329403889E0,3.500000000E2
2.409403889E0,3.500000000E2
2.549403889E0,3.500000000E2
2.689403889E0,3.520000000E2
2.829403889E0,3.520000000E2
2.969403889E0,3.520000000E2
3.109403889E0,3.550000000E2
3.249403889E0,3.550000000E2
3.389403889E0,3.550000000E2
3.489403889E0,3.520000000E2
3.529403889E0,3.520000000E2
3.669403889E0,3.520000000E2
3.809403889E0,3.520000000E2
3.949403889E0,3.520000000E2
4.089403889E0,3.520000000E2
4.229403889E0,3.520000000E2
4.289403889E0,3.520000000E2
4.369403889E0,3.500000000E2
4.489403889E0,3.500000000E2
4.648450192E0,3.500000000E2
4.788450192E0,3.500000000E2
4.928451192E0,3.500000000E2
5.068450192E0,3.500000000E2
5.088450192E0,3.500000000E2
5.128450192E0,3.520000000E2
5.208450192E0,3.520000000E2
5.288450192E0,3.500000000E2
5.328450192E0,3.500000000E2
5.488450192E0,3.500000000E2
5.628450192E0,3.500000000E2
5.768450192E0,3.500000000E2
5.908450192E0,3.520000000E2
6.048450192E0,3.520000000E2
6.188450192E0,3.550000000E2
6.328450192E0,3.550000000E2
6.468450192E0,3.550000000E2
6.608450192E0,3.550000000E2
6.728450192E0,3.550000000E2
6.888450192E0,3.550000000E2
7.028450192E0,3.550000000E2
7.168450192E0,3.550000000E2
7.308450192E0,3.550000000E2
7.448450192E0,3.550000000E2
7.588450192E0,3.550000000E2
7.728450192E0,3.550000000E2
7.868450192E0,3.550000000E2
8.008450192E0,3.550000000E2
8.148450192E0,3.550000000E2
8.288450192E0,3.550000000E2
8.428451192E0,3.550000000E2
8.568450192E0,3.550000000E2
8.708450192E0,3.550000000E2
8.848450192E0,3.550000000E2
8.928451192E0,3.550000000E2
