"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.683560471503750E9,"2023-05-08 17:41:11.504 UTC+02:00"
"PAUSE",1.989090658334320E1,1.683560491394140E9,"2023-05-08 17:41:31.394 UTC+02:00"
