"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.683539372500800E9,"2023-05-08 11:49:32.501 UTC+02:00"
"PAUSE",1.644807912502440E1,1.683539388948440E9,"2023-05-08 11:49:48.948 UTC+02:00"
