"Event time (s)","Interval (s)"
3.498958333E-1,1.349041667E0
1.698937500E0,1.334166667E0
3.033104167E0,2.685208333E0
5.718312500E0,9.902708333E-1
6.708583333E0,1.174416667E0
7.883000000E0,9.208125000E-1
8.803812500E0,1.194250000E0
9.998062500E0,7.656458333E-1
1.076370833E1,1.265125000E0
1.202883333E1,7.609375000E-1
1.278977083E1,1.349479167E0
1.413925000E1,1.072083333E-1
1.424645833E1,5.835000000E-1
1.482995833E1,1.455979167E0
1.628593750E1,8.567291667E-1
1.714266667E1,0.000000000E0
