"event","experiment time","system time","system time text"
"START",0.000000000E0,1682105012.326,"2023-04-21 21:23:32.326 UTC+02:00"
"PAUSE",2.196054091E1,1682105034.287,"2023-04-21 21:23:54.287 UTC+02:00"
