"event","experiment time","system time","system time text"
"START",0.000000000E0,1682103926.796,"2023-04-21 21:05:26.796 UTC+02:00"
"PAUSE",2.113699345E1,1682103947.933,"2023-04-21 21:05:47.933 UTC+02:00"
