"event","experiment time","system time","system time text"
"START",0.000000000E0,1682103870.853,"2023-04-21 21:04:30.853 UTC+02:00"
"PAUSE",2.182953825E1,1682103892.682,"2023-04-21 21:04:52.682 UTC+02:00"
