"Time (s)","Illuminance (lx)"
5.117831900E-2,2.630000000E2
2.131783190E-1,2.640000000E2
3.531783190E-1,2.640000000E2
4.931783190E-1,2.640000000E2
6.331783190E-1,2.640000000E2
6.531783190E-1,2.640000000E2
7.731783190E-1,2.640000000E2
8.131783190E-1,2.630000000E2
8.531783190E-1,2.630000000E2
9.131783190E-1,2.630000000E2
1.053178319E0,2.630000000E2
1.193178319E0,2.630000000E2
1.213178319E0,2.630000000E2
1.253178319E0,2.630000000E2
1.333178319E0,2.630000000E2
1.413178319E0,2.620000000E2
1.453178319E0,2.620000000E2
1.613178319E0,2.620000000E2
1.653178319E0,2.620000000E2
1.753178319E0,2.620000000E2
1.853178319E0,2.620000000E2
1.893178319E0,2.620000000E2
2.013178319E0,2.620000000E2
2.173178319E0,2.620000000E2
2.213178319E0,2.630000000E2
2.253178319E0,2.630000000E2
2.313178319E0,2.630000000E2
2.453178319E0,2.640000000E2
2.593178319E0,2.640000000E2
2.613178319E0,2.640000000E2
2.653178319E0,2.640000000E2
2.733179319E0,2.640000000E2
2.873178319E0,2.640000000E2
3.012178319E0,2.640000000E2
3.052178319E0,2.640000000E2
3.152178319E0,2.640000000E2
3.212178319E0,2.640000000E2
3.292178319E0,2.640000000E2
3.432178319E0,2.640000000E2
3.452178319E0,2.640000000E2
3.572178319E0,2.640000000E2
3.612178319E0,2.640000000E2
3.652178319E0,2.640000000E2
3.712178319E0,2.640000000E2
3.811933574E0,2.630000000E2
3.851933574E0,2.630000000E2
3.991933574E0,2.630000000E2
4.051933574E0,2.630000000E2
4.131933574E0,2.630000000E2
4.211933574E0,2.630000000E2
4.271933574E0,2.630000000E2
4.411933574E0,2.620000000E2
4.451933574E0,2.620000000E2
4.551933574E0,2.620000000E2
4.611933574E0,2.630000000E2
4.691933574E0,2.630000000E2
4.831933574E0,2.630000000E2
4.971933574E0,2.630000000E2
5.051933574E0,2.640000000E2
5.111933574E0,2.640000000E2
5.211933574E0,2.660000000E2
5.251933574E0,2.650000000E2
5.391933574E0,2.650000000E2
5.411933574E0,2.640000000E2
5.531933574E0,2.630000000E2
5.671933574E0,2.630000000E2
5.811933574E0,2.620000000E2
5.851933574E0,2.620000000E2
5.951933574E0,2.620000000E2
6.011933574E0,2.620000000E2
6.051933574E0,2.620000000E2
6.091934574E0,2.620000000E2
6.211933574E0,2.620000000E2
6.251933574E0,2.620000000E2
6.371933574E0,2.620000000E2
6.411933574E0,2.620000000E2
6.511933574E0,2.620000000E2
6.611933574E0,2.630000000E2
6.651933574E0,2.630000000E2
6.791933574E0,2.630000000E2
6.931933574E0,2.640000000E2
7.011933574E0,2.640000000E2
7.071933574E0,2.640000000E2
7.211933574E0,2.640000000E2
7.251933574E0,2.640000000E2
7.351933574E0,2.640000000E2
7.491933574E0,2.640000000E2
7.631933574E0,2.640000000E2
7.771933574E0,2.640000000E2
7.851933574E0,2.630000000E2
7.911933574E0,2.630000000E2
8.011933574E0,2.630000000E2
8.051933574E0,2.630000000E2
8.191933574E0,2.630000000E2
8.251933574E0,2.630000000E2
8.331933574E0,2.630000000E2
8.411933574E0,2.630000000E2
8.471933574E0,2.630000000E2
8.611933574E0,2.630000000E2
8.651933574E0,2.630000000E2
8.752048726E0,2.630000000E2
8.812048726E0,2.630000000E2
8.852048726E0,2.630000000E2
8.892048726E0,2.630000000E2
9.012048726E0,2.630000000E2
9.052048726E0,2.630000000E2
9.172048726E0,2.630000000E2
9.252048726E0,2.630000000E2
9.312048726E0,2.630000000E2
9.412048726E0,2.630000000E2
9.452048726E0,2.650000000E2
9.592049726E0,2.650000000E2
9.612048726E0,2.650000000E2
9.732048726E0,2.640000000E2
9.872048726E0,2.640000000E2
1.001204873E1,2.640000000E2
1.015204873E1,2.640000000E2
1.029204873E1,2.640000000E2
1.041204873E1,2.640000000E2
1.045204873E1,2.640000000E2
1.057204873E1,2.640000000E2
1.065204873E1,2.640000000E2
1.071204873E1,2.640000000E2
1.081204873E1,2.640000000E2
1.085204873E1,2.640000000E2
1.099204873E1,2.640000000E2
1.113204873E1,2.640000000E2
1.127204873E1,2.640000000E2
1.141204873E1,2.630000000E2
1.145204873E1,2.630000000E2
1.155204873E1,2.630000000E2
1.169204873E1,2.630000000E2
1.183204873E1,2.630000000E2
1.197204873E1,2.630000000E2
1.211204873E1,2.630000000E2
1.225204873E1,2.640000000E2
1.239204873E1,2.640000000E2
1.253204873E1,2.640000000E2
1.261204873E1,2.640000000E2
1.265204873E1,2.640000000E2
1.281204873E1,2.640000000E2
1.285204873E1,2.630000000E2
1.295204873E1,2.630000000E2
1.301204873E1,2.630000000E2
1.309204973E1,2.630000000E2
1.323204873E1,2.630000000E2
1.337204873E1,2.630000000E2
1.351204873E1,2.630000000E2
1.365204873E1,2.640000000E2
1.379204873E1,2.640000000E2
1.393204873E1,2.640000000E2
1.407204873E1,2.640000000E2
1.421204873E1,2.640000000E2
1.435204873E1,2.640000000E2
1.449204873E1,2.640000000E2
1.463204873E1,2.640000000E2
1.477204873E1,2.640000000E2
1.491204873E1,2.640000000E2
