"Time (s)","Illuminance (lx)"
4.312066100E-2,7.630000000E2
6.512066100E-2,7.630000000E2
1.051206610E-1,7.630000000E2
2.451206610E-1,7.630000000E2
3.851206610E-1,7.630000000E2
4.651206610E-1,7.630000000E2
5.251206610E-1,7.630000000E2
6.251206610E-1,7.630000000E2
6.651206610E-1,7.630000000E2
8.051206610E-1,7.630000000E2
9.451206610E-1,7.660000000E2
1.085120661E0,7.660000000E2
1.225120661E0,7.660000000E2
1.365120661E0,7.660000000E2
1.425120661E0,7.660000000E2
1.465120661E0,7.660000000E2
1.505120661E0,7.660000000E2
1.645120661E0,7.660000000E2
1.785120661E0,7.660000000E2
1.925120661E0,7.660000000E2
2.065120661E0,7.660000000E2
2.205120661E0,7.660000000E2
2.345120661E0,7.660000000E2
2.485120661E0,7.660000000E2
2.625120661E0,7.660000000E2
2.765120661E0,7.660000000E2
2.905120661E0,7.660000000E2
3.045120661E0,7.660000000E2
3.065120661E0,7.660000000E2
3.185121661E0,7.660000000E2
3.325120661E0,7.660000000E2
3.425120661E0,7.660000000E2
3.465120661E0,7.660000000E2
3.605120661E0,7.660000000E2
3.745120661E0,7.660000000E2
3.885120661E0,7.660000000E2
4.025120661E0,7.660000000E2
4.065120661E0,7.660000000E2
4.165120661E0,7.660000000E2
4.305120661E0,7.660000000E2
4.445120661E0,7.660000000E2
4.585120661E0,7.660000000E2
4.725120661E0,7.660000000E2
4.825120661E0,7.660000000E2
4.865120661E0,7.660000000E2
5.005120661E0,7.660000000E2
5.145120661E0,7.660000000E2
5.225120661E0,7.660000000E2
5.265120661E0,7.660000000E2
5.425120661E0,7.660000000E2
5.565120661E0,7.660000000E2
5.705120661E0,7.660000000E2
5.825120661E0,7.660000000E2
5.865120661E0,7.660000000E2
5.985120661E0,7.660000000E2
6.065120661E0,7.660000000E2
6.125120661E0,7.660000000E2
6.225120661E0,7.660000000E2
6.265120661E0,7.660000000E2
6.405120661E0,7.660000000E2
6.545120661E0,7.660000000E2
6.625120661E0,7.660000000E2
6.665120661E0,7.660000000E2
6.824120661E0,7.660000000E2
6.964120661E0,7.660000000E2
7.024120661E0,7.660000000E2
7.104259112E0,7.660000000E2
7.244259112E0,7.660000000E2
7.264259112E0,7.660000000E2
7.384259112E0,7.660000000E2
7.424259112E0,7.660000000E2
7.524259112E0,7.660000000E2
7.624259112E0,7.660000000E2
7.664259112E0,7.660000000E2
7.804259112E0,7.660000000E2
7.824259112E0,7.660000000E2
7.864259112E0,7.660000000E2
7.944259112E0,7.660000000E2
8.084259112E0,7.660000000E2
8.224259112E0,7.660000000E2
8.364259112E0,7.660000000E2
8.424259112E0,7.660000000E2
8.464259112E0,7.660000000E2
8.504259112E0,7.660000000E2
8.624259112E0,7.660000000E2
8.664259112E0,7.660000000E2
8.784259112E0,7.660000000E2
8.864259112E0,7.660000000E2
8.924259112E0,7.660000000E2
9.064259112E0,7.680000000E2
9.204259112E0,7.680000000E2
9.224259112E0,7.660000000E2
9.264259112E0,7.680000000E2
9.344259112E0,7.680000000E2
9.424259112E0,7.660000000E2
9.484259112E0,7.660000000E2
9.624259112E0,7.660000000E2
9.764259112E0,7.660000000E2
9.904260112E0,7.660000000E2
1.004425911E1,7.660000000E2
1.006425911E1,7.660000000E2
1.018425911E1,7.660000000E2
1.022425911E1,7.660000000E2
1.026425911E1,7.660000000E2
1.032425911E1,7.660000000E2
1.042425911E1,7.660000000E2
1.046425911E1,7.660000000E2
1.060425911E1,7.660000000E2
1.062425911E1,7.660000000E2
1.066425911E1,7.660000000E2
1.074425911E1,7.660000000E2
1.088425911E1,7.660000000E2
1.102425911E1,7.660000000E2
1.106425911E1,7.660000000E2
1.116425911E1,7.660000000E2
1.126425911E1,7.660000000E2
1.130425911E1,7.660000000E2
1.144425911E1,7.660000000E2
1.158425911E1,7.660000000E2
1.172425911E1,7.660000000E2
1.186425911E1,7.660000000E2
1.200425911E1,7.660000000E2
1.214425911E1,7.660000000E2
1.226425911E1,7.660000000E2
1.242425911E1,7.660000000E2
1.246425911E1,7.660000000E2
1.256425911E1,7.660000000E2
1.270425911E1,7.660000000E2
1.284425911E1,7.660000000E2
1.298425911E1,7.660000000E2
1.312425911E1,7.660000000E2
1.326425911E1,7.660000000E2
1.340426011E1,7.660000000E2
1.354425911E1,7.660000000E2
1.368425911E1,7.660000000E2
1.382425911E1,7.660000000E2
1.396425911E1,7.660000000E2
1.410425911E1,7.660000000E2
1.424425911E1,7.660000000E2
1.438425911E1,7.660000000E2
1.446425911E1,7.660000000E2
1.452425911E1,7.660000000E2
1.462425911E1,7.660000000E2
1.466425911E1,7.660000000E2
1.480425911E1,7.660000000E2
1.482425911E1,7.660000000E2
1.494425911E1,7.660000000E2
1.502425911E1,7.660000000E2
1.508425911E1,7.660000000E2
1.522425911E1,7.660000000E2
1.536425911E1,7.660000000E2
1.546425911E1,7.660000000E2
1.550425911E1,7.660000000E2
1.562425911E1,7.660000000E2
1.578425911E1,7.660000000E2
1.582425911E1,7.660000000E2
1.586425911E1,7.660000000E2
1.592425911E1,7.660000000E2
1.606425911E1,7.660000000E2
1.620425911E1,7.660000000E2
1.622425911E1,7.660000000E2
1.634425911E1,7.660000000E2
1.642425911E1,7.660000000E2
1.646425911E1,7.660000000E2
1.662425911E1,7.660000000E2
1.666425911E1,7.660000000E2
1.676425911E1,7.660000000E2
1.682425911E1,7.660000000E2
1.690426011E1,7.660000000E2
1.704425911E1,7.660000000E2
1.718425911E1,7.660000000E2
1.732425911E1,7.660000000E2
1.742425911E1,7.660000000E2
1.746411314E1,7.660000000E2
1.760411314E1,7.660000000E2
1.762411314E1,7.660000000E2
1.766411314E1,7.660000000E2
1.774411314E1,7.660000000E2
1.782411314E1,7.660000000E2
1.786411314E1,7.660000000E2
1.802411314E1,7.660000000E2
1.816411314E1,7.660000000E2
1.830411314E1,7.660000000E2
1.844411314E1,7.660000000E2
1.846411314E1,7.660000000E2
1.858411314E1,7.660000000E2
1.862411314E1,7.660000000E2
1.866411314E1,7.660000000E2
1.872411314E1,7.660000000E2
1.882411314E1,7.660000000E2
1.886411314E1,7.660000000E2
1.900411314E1,7.660000000E2
1.902411314E1,7.660000000E2
1.906411314E1,7.660000000E2
1.914411314E1,7.660000000E2
1.926411314E1,7.660000000E2
1.942411314E1,7.660000000E2
1.946411314E1,7.660000000E2
1.956411314E1,7.660000000E2
1.962411314E1,7.660000000E2
1.966411314E1,7.660000000E2
1.970411314E1,7.660000000E2
1.982411314E1,7.660000000E2
1.998411314E1,7.660000000E2
2.006411314E1,7.660000000E2
2.012411314E1,7.660000000E2
2.022411314E1,7.660000000E2
2.026411314E1,7.660000000E2
2.040411414E1,7.660000000E2
2.046411314E1,7.660000000E2
2.054411314E1,7.660000000E2
2.066411314E1,7.660000000E2
2.082411314E1,7.660000000E2
