"event","experiment time","system time","system time text"
"START",0.000000000E0,1682104625.695,"2023-04-21 21:17:05.695 UTC+02:00"
"PAUSE",2.107865152E1,1682104646.773,"2023-04-21 21:17:26.773 UTC+02:00"
