"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.683539841055687E9,"2023-05-08 11:57:21.056 UTC+02:00"
"PAUSE",2.110046029166551E1,1.683539862156162E9,"2023-05-08 11:57:42.156 UTC+02:00"
