"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.683539597691988E9,"2023-05-08 11:53:17.692 UTC+02:00"
"PAUSE",1.936567358329194E1,1.683539617057674E9,"2023-05-08 11:53:37.058 UTC+02:00"
