"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.683539962189391E9,"2023-05-08 11:59:22.189 UTC+02:00"
"PAUSE",2.050266749999719E1,1.683539982692073E9,"2023-05-08 11:59:42.692 UTC+02:00"
