"Event time (s)","Interval (s)"
1.728750000E0,1.617333333E0
3.346083333E0,2.414145833E0
5.760229167E0,1.656062500E0
7.416291667E0,1.598166667E0
9.014458333E0,1.431770833E0
1.044622917E1,1.214666667E0
1.166089583E1,1.807312500E0
1.346820833E1,1.604583333E0
1.507279167E1,1.298000000E0
1.637079167E1,1.341208333E0
1.771200000E1,0.000000000E0
