"event","experiment time","system time","system time text"
"START",0.000000000E0,1683723031.294,"2023-05-10 14:50:31.294 UTC+02:00"
"PAUSE",6.101922743E0,1683723037.396,"2023-05-10 14:50:37.396 UTC+02:00"
