"Time (s)","Illuminance (lx)"
3.069177100E-2,1.370000000E2
1.526917710E-1,1.370000000E2
1.726917710E-1,1.380000000E2
2.926917710E-1,1.390000000E2
4.126917710E-1,1.400000000E2
5.726917710E-1,1.410000000E2
7.126917710E-1,1.410000000E2
8.126917710E-1,1.420000000E2
8.526917710E-1,1.420000000E2
9.726917710E-1,1.430000000E2
1.012691771E0,1.440000000E2
1.132692771E0,1.440000000E2
1.172691771E0,1.450000000E2
1.272691771E0,1.450000000E2
1.372691771E0,1.460000000E2
1.412691771E0,1.470000000E2
1.552691771E0,1.470000000E2
1.572691771E0,1.480000000E2
1.612691771E0,1.480000000E2
1.692691771E0,1.480000000E2
1.772691771E0,1.490000000E2
1.832691771E0,1.500000000E2
1.972691771E0,1.510000000E2
2.112691771E0,1.520000000E2
2.172691771E0,1.530000000E2
2.252691771E0,1.530000000E2
2.372691771E0,1.530000000E2
2.412691771E0,1.540000000E2
2.532691771E0,1.540000000E2
2.572691771E0,1.540000000E2
2.672691771E0,1.550000000E2
2.812691771E0,1.560000000E2
2.952691771E0,1.560000000E2
2.972691771E0,1.570000000E2
3.012691771E0,1.580000000E2
3.092691771E0,1.580000000E2
3.232691771E0,1.590000000E2
3.372691771E0,1.590000000E2
3.515644884E0,1.600000000E2
3.575644884E0,1.610000000E2
3.615644884E0,1.610000000E2
3.655644884E0,1.610000000E2
3.775644884E0,1.620000000E2
3.815644884E0,1.620000000E2
3.935644884E0,1.620000000E2
3.975644884E0,1.620000000E2
4.075644884E0,1.620000000E2
4.175644884E0,1.620000000E2
4.215644884E0,1.630000000E2
4.355644884E0,1.630000000E2
4.415644884E0,1.640000000E2
4.495644884E0,1.640000000E2
4.615644884E0,1.650000000E2
4.775644884E0,1.650000000E2
4.915644884E0,1.660000000E2
4.975644884E0,1.650000000E2
5.015644884E0,1.650000000E2
5.055644884E0,1.650000000E2
5.195644884E0,1.650000000E2
5.215644884E0,1.660000000E2
5.335644884E0,1.660000000E2
5.375644884E0,1.660000000E2
5.415644884E0,1.660000000E2
5.475644884E0,1.660000000E2
5.615644884E0,1.660000000E2
5.755644884E0,1.660000000E2
5.815644884E0,1.670000000E2
5.895644884E0,1.670000000E2
6.035644884E0,1.670000000E2
6.175644884E0,1.680000000E2
6.315644884E0,1.680000000E2
6.455644884E0,1.680000000E2
6.595644884E0,1.690000000E2
6.735644884E0,1.690000000E2
6.815644884E0,1.690000000E2
6.875644884E0,1.690000000E2
7.015644884E0,1.690000000E2
7.155644884E0,1.690000000E2
7.295644884E0,1.690000000E2
7.375644884E0,1.690000000E2
