"event","experiment time","system time","system time text"
"START",0.000000000E0,1682103812.695,"2023-04-21 21:03:32.695 UTC+02:00"
"PAUSE",2.123940452E1,1682103833.934,"2023-04-21 21:03:53.934 UTC+02:00"
