"event","experiment time","system time","system time text"
"START",0.000000000E0,1682104308.935,"2023-04-21 21:11:48.935 UTC+02:00"
"PAUSE",2.324316487E1,1682104332.178,"2023-04-21 21:12:12.178 UTC+02:00"
