"Event time (s)","Interval (s)"
8.245208333E-1,1.395791667E0
2.220312500E0,1.315333333E0
3.535645833E0,1.184750000E0
4.720395833E0,1.251916667E0
5.972312500E0,1.025416667E0
6.997729167E0,1.214020833E0
8.211750000E0,7.260208333E-1
8.937770833E0,1.188270833E0
1.012604167E1,5.629166667E-1
1.068895833E1,1.295916667E0
1.198487500E1,6.765833333E-1
1.266145833E1,1.341562500E0
1.400302083E1,6.660833333E-1
1.466910417E1,0.000000000E0
