"event","experiment time","system time","system time text"
"START",0.000000000E0,1682105075.205,"2023-04-21 21:24:35.205 UTC+02:00"
"PAUSE",2.188600972E1,1682105097.091,"2023-04-21 21:24:57.091 UTC+02:00"
