"event","experiment time","system time","system time text"
"START",0.000000000E0,1682181149.329,"2023-04-22 18:32:29.329 UTC+02:00"
"PAUSE",2.290351333E1,1682181172.232,"2023-04-22 18:32:52.232 UTC+02:00"
