"event","experiment time","system time","system time text"
"START",0.000000000E0,1682104102.819,"2023-04-21 21:08:22.819 UTC+02:00"
"PAUSE",2.100966275E1,1682104123.829,"2023-04-21 21:08:43.829 UTC+02:00"
